Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
KOVE ARQUITETURA,,(96) 99120-2930,http://instagram.com/kove.arquitetura,"Avenida Francisca Praxédio de Mendonça, 680 - Muca, Macapá - AP, 68902-340","5,0",12,,,https://www.google.com/maps/place/KOVE+ARQUITETURA/data=!4m7!3m6!1s0x8d61e1f9d1bb3c81:0xbce40aeaa2d279c9!8m2!3d0.0113211!4d-51.0694575!16s%2Fg%2F11nwbt414y!19sChIJgTy70fnhYY0RyXnSouoK5Lw?authuser=0&hl=pt-BR&rclk=1
Eden Calado Arquiteto e Designer,,(96) 98137-1443,http://www.instagram.com/edencalado.arq,"Av. Diógenes Silva, 717 - Trem, Macapá - AP, 68901-090","4,7",15,,,https://www.google.com/maps/place/Eden+Calado+Arquiteto+e+Designer/data=!4m7!3m6!1s0x8d61e1e4d5239429:0x18aa1b495f3cc1b3!8m2!3d0.0251391!4d-51.0622684!16s%2Fg%2F11ghtdqx_l!19sChIJKZQj1eThYY0Rs8E8X0kbqhg?authuser=0&hl=pt-BR&rclk=1
Atrium Arquitetura Plena,,,https://www.atriumarquitetura.arq.br/,"R. Lucimar Amoras del Castillo, 378 - Jardim Marco Zero, Macapá - AP, 68903-366","5,0",7,0.0018802,-51.0754173,"https://www.google.com/maps/place/Atrium+Arquitetura+Plena/@0.0018802,-51.0754173,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e103d7744f61:0x984b82a6d51b95f4!8m2!3d0.0018802!4d-51.0754173!16s%2Fg%2F11c6_rqsgh?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Studio Sete Arquitetura,,(96) 98134-2187,,"Av. Raimundo Álvares da Costa, 1894 - Central, Macapá - AP, 68900-074","5,0",1,0.0432114,-51.0670961,"https://www.google.com/maps/place/Studio+Sete+Arquitetura/@0.0432114,-51.0670961,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1c0f0711377:0x141bca84ee0995e0!8m2!3d0.0432114!4d-51.0670961!16s%2Fg%2F11mk0v2sj0?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
PROJETOS & CONSTRUÇÃO,,(96) 98115-6826,,"R. José Bruno de Oliveira Gomes, Nº 1675 - Nova Brasília, Santana - AP, 68927-239","4,0",1,-0.0421424,-51.1634346,"https://www.google.com/maps/place/PROJETOS+%26+CONSTRU%C3%87%C3%83O/@-0.0421424,-51.1634346,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1d565233b1bf:0xaaea14529d91d16d!8m2!3d-0.0421424!4d-51.1634346!16s%2Fg%2F11h1vf6x2h?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
OPB Arquitetura e Interiores,,(96) 99121-1118,,"Av. Mendonça Furtado, 1081 - Central, Macapá - AP, 68900-060","5,0",6,0.037314,-51.0615649,"https://www.google.com/maps/place/OPB+Arquitetura+e+Interiores/@0.037314,-51.0615649,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e11b192a942d:0xcb9cf6d4025b0621!8m2!3d0.037314!4d-51.0615649!16s%2Fg%2F11bwpcq38j?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Forte Arquitetura,,(96) 99132-9575,https://www.instagram.com/forte_arquitetura/,"R. Beira Rio, 807 - Perpétuo Socorro, Macapá - AP, 68905-780","5,0",12,,,https://www.google.com/maps/place/Forte+Arquitetura/data=!4m7!3m6!1s0x8d61e17835b4ef61:0x2aae8e7580a0a154!8m2!3d0.0490618!4d-51.0428799!16s%2Fg%2F11kl1n_8x7!19sChIJYe-0NXjhYY0RVKGggHWOrio?authuser=0&hl=pt-BR&rclk=1
Caio Coelho Arquiteto & Urbanista | Arquiteto em Macapá,,(96) 98146-8548,,"Av. Lua, 1397 - Jardim Marco Zero, Macapá - AP, 68903-330","5,0",4,0.0032405,-51.0885339,"https://www.google.com/maps/place/Caio+Coelho+Arquiteto+%26+Urbanista+%7C+Arquiteto+em+Macap%C3%A1/@0.0032405,-51.0885339,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e140c1b7fb65:0x13bd946fea6e5698!8m2!3d0.0032405!4d-51.0885339!16s%2Fg%2F11vjmg1w78?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Arquiteto Alexandre Borges,,(96) 99115-8678,,"R. D Um, 49 - Vila Amazonas, Santana - AP, 68926-178",,,-0.0527499,-51.1582868,"https://www.google.com/maps/place/Arquiteto+Alexandre+Borges/@-0.0527499,-51.1582868,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1dd447380c6f:0xb9742c8647399b19!8m2!3d-0.0527499!4d-51.1582868!16s%2Fg%2F11kxjr977y?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Oficina de Arquitetura,,(96) 98107-5219,https://www.instagram.com/oficina_arq/,"R. Samuel Trajano de Souza - Jardim Marco Zero, Macapá - AP, 68903-190","5,0",2,,,https://www.google.com/maps/place/Oficina+de+Arquitetura/data=!4m7!3m6!1s0x8d61e1dff5e88f43:0x99ad2f9aa76ca171!8m2!3d0.0000485!4d-51.0739258!16s%2Fg%2F11hd99h3p5!19sChIJQ4_o9d_hYY0RcaFsp5ovrZk?authuser=0&hl=pt-BR&rclk=1
