Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
EMERSON BRAGA - O CONTADOR,,(96) 99207-8246,https://www.instagram.com/contador.emerson/,"Tv. Sete, N° 176 - Remédios, Santana - AP, 68927-042","5,0",26,,,https://www.google.com/maps/place/EMERSON+BRAGA+-+O+CONTADOR/data=!4m7!3m6!1s0x929e1dd5436154cd:0x209b28a10660913e!8m2!3d-0.0519763!4d-51.1596129!16s%2Fg%2F11q9j2gj0s!19sChIJzVRhQ9UdnpIRPpFgBqEomyA?authuser=0&hl=pt-BR&rclk=1
D V CONTABILIDADE,,(96) 99151-1127,,"R. Cláudio Lúcio Monteiro, 2018 - sala c - Daniel, Santana - AP, 68926-060",,,-0.0529832,-51.1598996,"https://www.google.com/maps/place/D+V+CONTABILIDADE/@-0.0529832,-51.1598996,17z/data=!3m1!4b1!4m6!3m5!1s0x48a028784a4d4517:0xe8f3003d60383488!8m2!3d-0.0529832!4d-51.1598996!16s%2Fg%2F11nhf8v2ww?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Confiança Contábil - Assessoria e Consultoria,,(96) 99135-0324,,"travessa onze, 70 Proximo a Jane Modas Provedor 2, Santana - AP, 68927-137",,,-0.0491463,-51.1576493,"https://www.google.com/maps/place/Confian%C3%A7a+Cont%C3%A1bil+-+Assessoria+e+Consultoria/@-0.0491463,-51.1576493,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1db4c8f85ad3:0x8cc889a0667b0ed4!8m2!3d-0.0491463!4d-51.1576493!16s%2Fg%2F11frqv85vh?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Escritório de Contabilidade - S.E.T. Soluções Contábeis,,(96) 99149-6446,,"Av. Brasília - Hospitalidade, Santana - AP, 68925-165","5,0",30,-0.0451621,-51.1681628,"https://www.google.com/maps/place/Escrit%C3%B3rio+de+Contabilidade+-+S.E.T.+Solu%C3%A7%C3%B5es+Cont%C3%A1beis/@-0.0451621,-51.1681628,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1dd57ce4f393:0x9776c1001144f6d6!8m2!3d-0.0451621!4d-51.1681628!16s%2Fg%2F11xgfvbww8?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
AMAPA CONTABILIDADE,,(96) 98419-9191,,"R. Pedro Salvador Diniz, 2050 - Remédios, Santana - AP, 68925-000",,,-0.0446295,-51.1595989,"https://www.google.com/maps/place/AMAPA+CONTABILIDADE/@-0.0446295,-51.1595989,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1cea7ca3c72b:0xed432ef5c144499d!8m2!3d-0.0446295!4d-51.1595989!16s%2Fg%2F1tf1cttf?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Exata Soluções Contábeis,,(96) 3223-3507,http://exatasol.com.br/html/index.html,"R. Pedro Salvador Diniz, 1738 B - Remédios, Santana - AP, 68927-027",,,,,https://www.google.com/maps/place/Exata+Solu%C3%A7%C3%B5es+Cont%C3%A1beis/data=!4m7!3m6!1s0x929e1cc12f513e57:0xd71cff655633c2fb!8m2!3d-0.0444393!4d-51.1638082!16s%2Fg%2F1td9rlmm!19sChIJVz5RL8EcnpIR-8IzVmX_HNc?authuser=0&hl=pt-BR&rclk=1
Day Baía contadora,,(96) 99178-0553,https://www.instagram.com/daybaia.contadora/,"R. Pedro Salvador Diniz, 1184 - centro, Santana - AP, 68925-180",,,,,https://www.google.com/maps/place/Day+Ba%C3%ADa+contadora/data=!4m7!3m6!1s0x929e1db0acab9fcb:0x726998d37269ed51!8m2!3d-0.0439789!4d-51.1681684!16s%2Fg%2F11k3d9hl9s!19sChIJy5-rrLAdnpIRUe1pctOYaXI?authuser=0&hl=pt-BR&rclk=1
JOTA Contabilidade,,(96) 98419-9191,,"R. Pedro Salvador Diniz, 2050 A - Provedor, Santana - AP, 68927-194",,,-0.0447183,-51.159565,"https://www.google.com/maps/place/JOTA+Contabilidade/@-0.0447183,-51.159565,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1d281461b4eb:0xb6aae35058c0ec27!8m2!3d-0.0447183!4d-51.159565!16s%2Fg%2F11px3h4pz0?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
AG contabilidade,,(96) 99116-1828,,"Av. 26 de Julho, 960 - Novo Buritizal, Macapá - AP, 68904-630","5,0",4,0.0132407,-51.0815371,"https://www.google.com/maps/place/AG+contabilidade/@0.0132407,-51.0815371,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e10dd4c35b25:0xb90aea380ee1b503!8m2!3d0.0132407!4d-51.0815371!16s%2Fg%2F11rspj62kk?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
G&G contabilidade,,(96) 99192-2959,,"Tv. Bernardo de Melo, 41 - Nova Brasília, Santana - AP, 68927-272","5,0",8,-0.0431104,-51.1634223,"https://www.google.com/maps/place/G%26G+contabilidade/@-0.0431104,-51.1634223,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1d25dadb46bf:0x8013acf6ac1ebded!8m2!3d-0.0431104!4d-51.1634223!16s%2Fg%2F11w8hczmmj?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
