Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
CardioClínica,,(96) 3242-9825,https://www.instagram.com/cardioclinicamcp/,"Rua Dr. Marcelo Cândia, 742 - Santa Rita, Macapá - AP, 68901-901","4,9",395,,,https://www.google.com/maps/place/CardioCl%C3%ADnica/data=!4m7!3m6!1s0x8d61e112b19d042d:0x80a23c4b8772db1e!8m2!3d0.0389651!4d-51.0746277!16s%2Fg%2F11b6hv35r2!19sChIJLQSdsRLhYY0RHttyh0s8ooA?authuser=0&hl=pt-BR&rclk=1
Clínica Biocardio,,(96) 98429-6886,https://www.clinicabiocardio.com/,"Clinica Biocardio - Av. Duque de Caxias, 1129 - Central, Macapá - AP, 68900-071","5,0",384,,,https://www.google.com/maps/place/Cl%C3%ADnica+Biocardio/data=!4m7!3m6!1s0x8d61e1569b76c625:0x23e5d5e2cc425060!8m2!3d0.0394392!4d-51.0663414!16s%2Fg%2F11t_tp2g3p!19sChIJJcZ2m1bhYY0RYFBCzOLV5SM?authuser=0&hl=pt-BR&rclk=1
ICCA - Instituto Cristão de Cardiologia do Amapá,,(96) 3224-3317,http://icca.med.br/,"Rua Dr. Marcelo Cândia, 823 - Santa Rita, Macapá - AP, 68901-341","2,7",204,,,https://www.google.com/maps/place/ICCA+-+Instituto+Crist%C3%A3o+de+Cardiologia+do+Amap%C3%A1/data=!4m7!3m6!1s0x8d61e10d542256a9:0xa93dfec86329ba69!8m2!3d0.0377978!4d-51.0743191!16s%2Fg%2F1pty93r4j!19sChIJqVYiVA3hYY0RabopY8j-Pak?authuser=0&hl=pt-BR&rclk=1
Cardiologista Dr. Solermo Camarão | Consultório CardioImagens,,(96) 99131-8314,https://drsolermocamarao.com/,"Dr Solermo Camarão - Av. Almirante Barroso, 2045 - Santa Rita, Macapá - AP, 68901-336","5,0",6,,,https://www.google.com/maps/place/Cardiologista+Dr.+Solermo+Camar%C3%A3o+%7C+Consult%C3%B3rio+CardioImagens/data=!4m7!3m6!1s0x8d61e114f94fffff:0x20bcbdf004862811!8m2!3d0.0373895!4d-51.075522!16s%2Fg%2F11j2yqpdbs!19sChIJ__9P-RThYY0RESiGBPC9vCA?authuser=0&hl=pt-BR&rclk=1
DRA JOSELI SERRUYA,,(96) 99150-5109,https://drajoseliserruya.com.br/,"Av. Euclides da Cunha, 573 - Central, Macapá - AP, 68900-072","5,0",25,,,https://www.google.com/maps/place/DRA+JOSELI+SERRUYA/data=!4m7!3m6!1s0xadb68d5b804b6b57:0x6b5b986e42089709!8m2!3d0.0406221!4d-51.0712569!16s%2Fg%2F11m5yskmdy!19sChIJV2tLgFuNtq0RCZcIQm6YW2s?authuser=0&hl=pt-BR&rclk=1
Centro Cardiologico,,(96) 99204-2998,,"R. Hildemar Maia, 583 - Santa Rita, Macapá - AP, 68908-119","4,8",6,0.0429945,-51.069851,"https://www.google.com/maps/place/Centro+Cardiologico/@0.0429945,-51.069851,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e115e2e23b91:0x9d3590b25809b320!8m2!3d0.0429945!4d-51.069851!16s%2Fg%2F11h42q30my?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Dra. Ana Chucre Amazon Cardio,,(96) 99147-7959,,"Hospital Dia - Av. Mendonça Furtado, 2435 - Santa Rita, Macapá - AP, 68901-254","4,8",121,0.0381325,-51.0735016,"https://www.google.com/maps/place/Dra.+Ana+Chucre+Amazon+Cardio/@0.0381325,-51.0735016,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e10f1b163327:0xe933cf250098c0c6!8m2!3d0.0381325!4d-51.0735016!16s%2Fg%2F11cks73c_l?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
"Dr. Eduardo Monteiro De Jesus, Cardiologista",,,https://www.doctoralia.com.br/eduardo-monteiro-de-jesus/cardiologista/macapa?utm_source=google&utm_medium=gmb&utm_campaign=42332&utm_content=website,"R. Hildemar Maia, 570 A - Santa Rita, Macapá - AP, 68901-271","5,0",2,0.0430421,-51.0701306,"https://www.google.com/maps/place/Dr.+Eduardo+Monteiro+De+Jesus,+Cardiologista/@0.0430421,-51.0701306,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1f558f91555:0x9b84cc58165c99c4!8m2!3d0.0430421!4d-51.0701306!16s%2Fg%2F11kxbw7v6q?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Clínica Centrocor Cardiologia e Hemodinâmica,,(96) 3222-4499,https://centrocor-ap.com.br/,"R. Cândido Mendes, nº 375 - Perpétuo Socorro, Macapá - AP, 68905-670","3,3",64,,,https://www.google.com/maps/place/Cl%C3%ADnica+Centrocor+Cardiologia+e+Hemodin%C3%A2mica/data=!4m7!3m6!1s0x8d61e0ff1d610c53:0x5aceb2093c9db54b!8m2!3d0.0428207!4d-51.0500803!16s%2Fg%2F1tfjgl2b!19sChIJUwxhHf_gYY0RS7WdPAmyzlo?authuser=0&hl=pt-BR&rclk=1
Clínica do Coração - Centro Médico e Diagnóstico,,(96) 99116-2005,https://cliniccor.com.br/,"R. Jovino Dinoá, 3868 - Beirol, Macapá - AP, 68902-030","3,1",18,,,https://www.google.com/maps/place/Cl%C3%ADnica+do+Cora%C3%A7%C3%A3o+-+Centro+M%C3%A9dico+e+Diagn%C3%B3stico/data=!4m7!3m6!1s0x8d61e11c72aecc3d:0xb437c5681a2013a4!8m2!3d0.0173268!4d-51.0616246!16s%2Fg%2F11c54nxs6m!19sChIJPcyuchzhYY0RpBMgGmjFN7Q?authuser=0&hl=pt-BR&rclk=1
