Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
EMERSON BRAGA - O CONTADOR,,(96) 99207-8246,https://www.instagram.com/contador.emerson/,"Tv. Sete, N° 176 - Remédios, Santana - AP, 68927-042","5,0",26,,,https://www.google.com/maps/place/EMERSON+BRAGA+-+O+CONTADOR/data=!4m7!3m6!1s0x929e1dd5436154cd:0x209b28a10660913e!8m2!3d-0.0519763!4d-51.1596129!16s%2Fg%2F11q9j2gj0s!19sChIJzVRhQ9UdnpIRPpFgBqEomyA?authuser=0&hl=pt-BR&rclk=1
AJ Soluções Contábeis & Tributárias,,(96) 99172-9712,http://www.ajsolucoes.com.br/,"Av. dos Galibis, 342 - Beirol, Macapá - AP, 68902-130","5,0",5,,,https://www.google.com/maps/place/AJ+Solu%C3%A7%C3%B5es+Cont%C3%A1beis+%26+Tribut%C3%A1rias/data=!4m7!3m6!1s0x8d61e1b9f7772745:0x6613ac5ea529a4b2!8m2!3d0.018015!4d-51.06521!16s%2Fg%2F11bywkzxw0!19sChIJRSd397nhYY0RsqQppV6sE2Y?authuser=0&hl=pt-BR&rclk=1
D V CONTABILIDADE,,(96) 99151-1127,,"R. Cláudio Lúcio Monteiro, 2018 - sala c - Daniel, Santana - AP, 68926-060",,,-0.0529832,-51.1598996,"https://www.google.com/maps/place/D+V+CONTABILIDADE/@-0.0529832,-51.1598996,17z/data=!3m1!4b1!4m6!3m5!1s0x48a028784a4d4517:0xe8f3003d60383488!8m2!3d-0.0529832!4d-51.1598996!16s%2Fg%2F11nhf8v2ww?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
AG contabilidade,,(96) 99116-1828,,"Av. 26 de Julho, 960 - Novo Buritizal, Macapá - AP, 68904-630","5,0",4,0.0132407,-51.0815371,"https://www.google.com/maps/place/AG+contabilidade/@0.0132407,-51.0815371,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e10dd4c35b25:0xb90aea380ee1b503!8m2!3d0.0132407!4d-51.0815371!16s%2Fg%2F11rspj62kk?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
AMAPA CONTABILIDADE,,(96) 98419-9191,,"R. Pedro Salvador Diniz, 2050 - Remédios, Santana - AP, 68925-000",,,-0.0446295,-51.1595989,"https://www.google.com/maps/place/AMAPA+CONTABILIDADE/@-0.0446295,-51.1595989,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1cea7ca3c72b:0xed432ef5c144499d!8m2!3d-0.0446295!4d-51.1595989!16s%2Fg%2F1tf1cttf?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
NORT ATAX,,(96) 3223-1130,http://www.nortcontabilidade.com.br/,"Av. Felíciano Coelho, 1187 - 2° Andar - Trem, Macapá - AP, 68901-025","5,0",56,,,https://www.google.com/maps/place/NORT+ATAX/data=!4m7!3m6!1s0x8d61e180e5ff320f:0xb72b3448e00a2f6e!8m2!3d0.029174!4d-51.064532!16s%2Fg%2F11r10g6l51!19sChIJDzL_5YDhYY0Rbi8K4Eg0K7c?authuser=0&hl=pt-BR&rclk=1
Asa Norte Consultoria,,(96) 98138-4440,http://www.asanorteconsultoria.com.br/,"R. Leopoldo Machado, 773, Altos - Jesus de Nazaré, Macapá - AP, 68908-120","5,0",51,,,https://www.google.com/maps/place/Asa+Norte+Consultoria/data=!4m7!3m6!1s0x8d61e1244ea55aaf:0x884b307f52c4221b!8m2!3d0.04523!4d-51.061471!16s%2Fg%2F1tvq54tt!19sChIJr1qlTiThYY0RGyLEUn8wS4g?authuser=0&hl=pt-BR&rclk=1
Escritório de Contabilidade - S.E.T. Soluções Contábeis,,(96) 99149-6446,,"Av. Brasília - Hospitalidade, Santana - AP, 68925-165","5,0",30,-0.0451621,-51.1681628,"https://www.google.com/maps/place/Escrit%C3%B3rio+de+Contabilidade+-+S.E.T.+Solu%C3%A7%C3%B5es+Cont%C3%A1beis/@-0.0451621,-51.1681628,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1dd57ce4f393:0x9776c1001144f6d6!8m2!3d-0.0451621!4d-51.1681628!16s%2Fg%2F11xgfvbww8?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
MÁBIT CONTABILIDADE E CONSULTORIA EMPRESARIAL,,(96) 98102-0040,https://digital.mabitcontabilidade.com.br/,"Av. Dr. Silas Salgado, 3536 - Santa Rita, Macapá - AP, 68901-346","4,9",17,,,https://www.google.com/maps/place/M%C3%81BIT+CONTABILIDADE+E+CONSULTORIA+EMPRESARIAL/data=!4m7!3m6!1s0x8d61e16eebaee70f:0xebc48ffeb87dd55f!8m2!3d0.0389806!4d-51.0810643!16s%2Fg%2F11c1xf_74q!19sChIJD-eu627hYY0RX9V9uP6PxOs?authuser=0&hl=pt-BR&rclk=1
Azul Contabilidade,,(96) 99201-7343,https://instagram.com/azulcontabilidade.ap,"Avenida Mendonça Junior, Brasil, 2239 - Central, Macapá - AP, 68900-020","5,0",2,,,https://www.google.com/maps/place/Azul+Contabilidade/data=!4m7!3m6!1s0x8d61e17e36e1c4f9:0xddaf338a24e9f09e!8m2!3d0.0343685!4d-51.0701153!16s%2Fg%2F11h3mcd290!19sChIJ-cThNn7hYY0RnvDpJIozr90?authuser=0&hl=pt-BR&rclk=1
